Category,Key,English,Simplified Chinese,Notes
,GOLD CLEAVER,GOLD CLEAVER,黄金厨刀,
,GOLDEN BOW,GOLDEN BOW,黄金弓,
,GOLDEN BOW2,Due to their small sizes squirrels and mice often opt for archery rather than brute strength,由于体型较小，老鼠和松鼠一般都会选择钻研弓道，而非依靠蛮力,
,GOLDEN SHIV,GOLDEN SHIV,黄金匕首,
,GOLDEN SHIV2,We've been turning blood to gold for centuries!,以血换金，千古不变！,
,GOLDEN WHETSTONE,GOLDEN WHETSTONE,黄金砥石,
,GUARDIAN RING,GUARDIAN RING,守护者之戒,
,GUARDING BAND,GUARDING BAND,守护之链,
,GUPPY,GUPPY,孔雀鱼,
,HATCHET,HATCHET,短柄斧,
,HAWKEYE'S BOW,HAWKEYE'S BOW,鹰眼之弓,
,HAWKEYE'S BOW2,One of the greatest archers in the ranks of the patrol was Hawkeye Mirabelle. She once shot down two hawks while hanging upside down from a tree,巡逻队中最伟大的弓箭手之一，鹰眼·米拉贝尔，曾倒挂于树枝上，用这把弓一箭双雕。,
,HEART RING,HEART RING,心之戒,
,HEAVY BLADE,HEAVY BLADE,沉重之刃,
,HERB,HERB,草药,
,HERCULE PAVISE,HERCULE PAVISE,大力神之盾,
,HERCULE PAVISE2,The Buckler did it!,小盾终有出头日！,
,HONEYSUCKLE,HONEYSUCKLE,金银花,
,IRON HELMET,IRON HELMET,铁盔,
,JACK CLEAVER,JACK CLEAVER,侍卫厨刀,
,JADE AXE,JADE AXE,翠玉斧,
,JAGGED BLADE,JAGGED BLADE,锯齿大剑,
,KEG,KEG,桶,
,KEY SWORD,KEY SWORD,钥剑,
,KEY SWORD2,Unlocks your potential as a warrior!,“打开”通往战士之路的大门！,
,KING CLEAVER,KING CLEAVER,国王厨刀,
,KNIGHT'S ARMOR,KNIGHT'S ARMOR,骑士铠甲,
,KNIGHT'S SHIELD,KNIGHT'S SHIELD,骑士之盾,
,LARGE HEART RING,LARGE HEART RING,巨心之戒,
,LEATHER BOOTS,LEATHER BOOTS,皮靴,
,LEATHER CAP,LEATHER CAP,皮帽,
,LEFT GAUNTLET,LEFT GAUNTLET,金属左拳甲,
,LEFT GLOVE,LEFT GLOVE,皮革左手套,
,LETTER,LETTER,信件,
,LIGHTNING,LIGHTNING,闪电,
,LI'L BUCKLER,LI'L BUCKLER,小小圆盾,
,LI'L BUCKLER2,A little shield with sass and pep!,一面莽莽撞撞又精力旺盛的小盾牌！,
,LIQUID ARMOR,LIQUID ARMOR,液态护甲,
,LIQUID LUCK,LIQUID LUCK,液态幸运,
,LIZARD KING SWORD,LIZARD KING SWORD,蜥蜴王之剑,
,LONGBOW,LONGBOW,长弓,
,LUCKY Shiv,LUCKY Shiv,幸运短刃,
,LUCKY DAGGER2,Lucky for you - not for them,好运常伴你身，他人求生无门,
,LUCKY RING,LUCKY RING,幸运之戒,
,MACE,MACE,钉头锤,
,MACHETE,MACHETE,砍刀,
,MAGICAL HERB,MAGICAL HERB,魔法草药,
,MANASTONE BOW,MANASTONE BOW,魔石之弓,
,MEAL,MEAL,佳肴,
,METALLIC WAND,METALLIC WAND,金属魔杖,
,METALLIC WAND2,A static feeling runs through the pads of your paw,一种触电感在你爪间肉垫窜过,
,MIRROR SHIELD,MIRROR SHIELD,镜盾,
,MOUSE BOW,MOUSE BOW,鼠弓,
,Mug of Grape Juice,Mug of Grape Juice,大杯葡萄汁,
,MY FIRST WAND,MY FIRST WAND,我的第一根魔杖,
,MY FIRST WAND2,Teaches kids the basics of magic!,用来教孩子们基础魔法！,
,NECRONOMICON,NECRONOMICON,死灵之书,
,NECRONOMICON2,The book is bound in fur!,这本书是用毛皮装订的！,
,NEEDLER,NEEDLER,钩刺剑,
,NINJA COSTUME,NINJA COSTUME,忍者服装,
,NUNCHUCKS,NUNCHUCKS,双截棍,
,NUNCHUCKS2,Make sure you have space to use them!,确保你有足够的空间来使用它！,
,OLD LOG,OLD LOG,朽木,
,ORKSORK AX,ORKSORK AX,欧克索克之斧,
,ORKSORK AX2,The axe of an elder-god,远古之神的斧头,
,PACIFIST'S RING,PACIFIST'S RING,和平之戒,
,PALADIN'S SWORD,PALADIN'S SWORD,圣骑士之剑,
,PEARL,PEARL,珍珠,
,PERIDOT,PERIDOT,橄榄石,
,PHILOSOPHER'S STONE,PHILOSOPHER'S STONE,贤者之石,
,PICK AXE,PICK AXE,十字镐,
,PIGGYBANK,PIGGYBANK,小猪存钱罐,
,PIGGYBANK2,Free money! And it smells like bacon!,免费的钱！闻起来还有培根的香味！,
,PLATE ARMOR,PLATE ARMOR,板甲,
,POISON ARROW,POISON ARROW,剧毒箭矢,
,POISON IVY,POISON IVY,毒藤,
,POISON POTION,POISON POTION,剧毒药水,
,POISON WHETSTONE,POISON WHETSTONE,剧毒砥石,
,Pot of Plenty,Pot of Plenty,丰饶之锅,
,POTTED ALOE,POTTED ALOE,芦荟盆栽,
,PRETTY ANKLET,PRETTY ANKLET,漂亮脚链,
,QUEEN CLEAVER,QUEEN CLEAVER,皇后厨刀,
,RAPIER,RAPIER,刺剑,
,RAPIER2,Live life on the edge ,刀尖之上翩然起舞,
,RARE HERB,RARE HERB,罕见草药,
,RED HOODIE,RED HOODIE,红色连帽衫,
,RED HOODIE2,A leftover from before Orderia?  The spiders that spun this thread must have been strange indeed!,奥德里亚的上古遗留物？能织出这种线的，肯定是只奇怪的蜘蛛！,
,REGEN POTION,REGEN POTION,再生药水,
,REGENERATIVE WHETSTONE,REGENERATIVE WHETSTONE,再生砥石,
,RIGHT GAUNTLET,RIGHT GAUNTLET,金属右拳甲,
,RIGHT GLOVE,RIGHT GLOVE,皮革右手套,
,RING OF DOOM,RING OF DOOM,末日之戒,
,RING OF RAGE,RING OF RAGE,狂怒之戒,
,ROBOT TOY,ROBOT TOY,机器人玩具,
,ROBOT TOY2,I think it's broken!,它好像坏掉了！,
,ROCKET,ROCKET,火箭,
,ROGUE'S MASK,ROGUE'S MASK,刺客面具,
,ROOF,ROOF,房顶,
,ROSE OF THORNS,ROSE OF THORNS,荆棘玫瑰,
,Rose of Thorns e1,Adds an additional spike for each Rose of Thorns in this row or column,此行或此列中每有一朵荆棘玫瑰，就额外叠加 1 层尖刺,
,ROSE OF THORNS2,"Every rose has its thorns, especially this one",每朵玫瑰都有刺，尤其是这朵,
,ROUGH BUCKLER,ROUGH BUCKLER,粗糙圆盾,
,RUBY,RUBY,红宝石,
,SCIMITAR,SCIMITAR,弯刀,
,SEASONING,SEASONING,调味料,
,SHIV,SHIV,短刃,
,SHORT ARROW,SHORT ARROW,短小箭矢,
,SKULL WAND,SKULL WAND,骷髅魔杖,
,SLATS SHIELD,SLATS SHIELD,板条盾,
,SLIME SWORD,SLIME SWORD,软泥之剑,
,SMALL KEY,SMALL KEY,小钥匙,
,SMELT,SMELT,胡瓜鱼,
,SOLDIER'S BUCKLER,SOLDIER'S BUCKLER,士兵圆盾,
,SPAGHETTI,SPAGHETTI,意大利面,
,SPAGHETTI2,"spaghetti, spaghetti, my backpack is ready",意面，意面，我的背包等你出现,
,SPEEDY LEAF,SPEEDY LEAF,迅捷之叶,
,SPIKED HELMET,SPIKED HELMET,尖刺头盔,
,SPIKED SCALE,SPIKED SCALE,尖刺鳞片,
,SPIKY CLUB,SPIKY CLUB,尖刺钉棒,
,SPLINT,SPLINT,夹板,
,STAR POTION,STAR POTION,星星药水,
,STEAK,STEAK,牛排,
,STEAK2,This steak is so rich. You can only eat half at a time,这盘牛排太丰盛了，你一次只能吃下半份,
,STEEL BOOTS,STEEL BOOTS,钢靴,
,TASTY FLY,TASTY FLY,美味苍蝇,
,TASTY FLY2,Rats don't eat flies,老鼠可不吃苍蝇,
,TEA,TEA,茶,
,TEA2,Proper. Dignified. Perfectly balanced,芬芳馥郁，温润回甘,
,TEDDY BEAR SWORD,TEDDY BEAR SWORD,泰迪熊剑,
,TEDDY BEAR SWORD2,It's not a weapon. But there is a brick in the stuffing,它本身并不算一把武器，但熊肚子里面被塞了块砖,
,THREAD,THREAD,丝线,
,TILTED SWORD,TILTED SWORD,将倾之剑,
,TOKEN OF ENERGY,TOKEN OF ENERGY,能量代币,
,TOOTH NECKLACE,TOOTH NECKLACE,尖牙项链,
,TOWER SHIELD,TOWER SHIELD,塔盾,
,TUNIC,TUNIC,束腰外衣,
,VAMPIRE BLADE,VAMPIRE BLADE,吸血鬼之刃,
,VAMPIRIC AXE,VAMPIRIC AXE,吸血鬼之斧,
,VAMPIRIC CRYSTAL,VAMPIRIC CRYSTAL,吸血鬼结晶,
,VOLATILE POTION,VOLATILE POTION,不稳定药水,
,WARM DRINK,WARM DRINK,热饮,
,WARRIOR'S SPELLBOOK,WARRIOR'S SPELLBOOK,战士的咒语书,
,WARRIOR'S SPELLBOOK2,For the warrior on the go!,战士旅途必备！,
,WATER FLASK,WATER FLASK,水瓶,
,WHEEL,WHEEL,轮子,
,WHETSTONE,WHETSTONE,砥石,
,WIZARD CAP,WIZARD CAP,巫师帽,
,WIZARD STAFF,WIZARD STAFF,巫师法杖,
,WIZARD'S ROBE,WIZARD'S ROBE,巫师袍,
,WOODEN SWORD,WOODEN SWORD,木剑,
,Yellow Rose,Yellow Rose,黄玫瑰,
,Yellow Rose2,Symbolizes friendship. It's still thorny though.,象征着友谊，不过还是有点扎手。,
,Whittling Knife,Whittling Knife,雕刻刀,
,Dreaming Sap,Dreaming Sap,幻梦树液,
,Flower Pot,Flower Pot,花盆,
,Carving's Edge,Carving's Edge,雕饰利刃,
,Pot Carving,Pot Carving,花盆雕饰,
,Cherry Bomb,Cherry Bomb,樱桃炸弹,
,Energy Carving,Energy Carving,能量雕饰,
,Mana Sap,Mana Sap,法力树液,
,Mossy Carving,Mossy Carving,苔藓雕饰,
,Dreaming Buckler,Dreaming Buckler,幻梦圆盾,
,Dreaming Buckler2,"""Far out!""",“太美妙了！”,
,Brothers Bow,Brothers Bow,兄弟之弓,
,Crown of Roots,Crown of Roots,树根王冠,
,Hero Carving,Hero Carving,英雄雕饰,
,Survival Guide,Survival Guide,生存指南,
,Sharp Branch,Sharp Branch,尖锐树枝,
,Carved Blade,Carved Blade,雕饰之刃,
,Dreaming Sword,Dreaming Sword,幻梦之剑,
,Illusory Blade,Illusory Blade,幻影之刃,
,Illusory Duct Tape,Illusory Duct Tape,幻影胶带,
,Dreaming Ring,Dreaming Ring,幻梦之戒,
,Overgrown Arrow,Overgrown Arrow,蔓生箭矢,
,Wooden Shiv,Wooden Shiv,木制短刃,
,Wooden Buckler,Wooden Buckler,木制圆盾,
,Belt of Dreams,Belt of Dreams,梦之腰带,
,Fuel Pellet,Fuel Pellet,燃料颗粒,
,Tree Sword,Tree Sword,木植之剑,
,Poison Carving,Poison Carving,剧毒雕饰,
,Energy Fish,Energy Fish,能量鱼雕,
,Flowering Cleaver,Flowering Cleaver,绽放厨刀,
,Frog Magician Boots,Frog Magician Boots,青蛙魔靴,
,Saw Mill,Saw Mill,锯片雕饰,
,Acorn Cap,Acorn Cap,橡子雕饰,
,Tape Carving,Tape Carving,胶带雕饰,
,Piggy Bang,Piggy Bang,小猪炸弹,
,Gardener's Helmet,Gardener's Helmet,园丁头盔,
,Bolt Carving,Bolt Carving,闪电雕饰,
,Mossy Mace,Mossy Mace,苔藓钉锤,
,Lucky Carving,Lucky Carving,幸运雕饰,
,Shiny Carving,Shiny Carving,闪亮雕饰,
,Carving cyler,Carving cyler,雕饰回收器,
,Die,Dice,骰子,
,Die1,Use to reroll your combat rewards,用来重置你的战斗奖励,
,mortar,mortar,研缽,
,Mortar1,Use to combine together potions to the left and right,用来将左右两侧的药水调和起来,
,Rusty Sword,Rusty Sword,锈蚀之剑,
,Ballista,Ballista,弩炮,
,Boo-hoo Buckler,Boo-hoo Buckler,呜呼圆盾,
,Dark Potion,Dark Potion,黑暗药水,
,Dark Potion1,Use to create a battle,用于生成一场战斗,
,Spare Die,Spare Dice,备用骰子,
,Spare Die1,Use to add to your combat rewards,用来增加你的战斗奖励,
,Spring Gem,Spring Gem,春日宝石,
,Shortcut Map,Shortcut Map,捷径地图,
,Shortcut Map1,Use to discover a secret passage!,用来发现一条秘密捷径！,
,Alembic,Alembic,蒸馏器,
,Alembic1,Use to duplicate the potion in the space above - for a price,用来复制上方的药水——别忘了付钱,
,Lizard Blade,Lizard Blade,蜥蜴之刃,
,Lance,Lance,长枪,
,Flame Gem,Flame Gem,烈焰宝石,
,Flame Axe,Flame Axe,烈焰之斧,
,Fire Staff,Fire Staff,烈焰法杖,
,Lily Pad,Lily Pad,睡莲叶,
,Warhorn,Warhorn,战斗号角,
,Warnhorn1,Use to create a battle,用于生成一场战斗,
,Red Pearl,Red Pearl,红珍珠,
,Violet Energy,Violet Energy,紫色之力,
,Overgrown Axe,Overgrown Axe ,蔓生之斧,
,Mixed Potion,Mixed Potion,混合药水,
,Splitter,Splitter,分流器,
,Splitter1,Destroys charge. Creates two charges going to the side. Each charge has half the value of the destroyed charge,摧毁旧充能，再生成两发行进不同方向的充能。每发新充能只有旧充能的一半能量值,
,Core,Core,核心,
,Battery,Battery,电池,
,Rotator,Rotator,转向器,
,Ruby Rotator,Ruby Rotator,红宝石转向器,
,Sharp Rotator,Sharp Rotator,尖锐转向器,
,Disposable Battery,Disposable Battery,一次性电池,
,Double Battery,Double Battery,双重电池,
,Circuit Board,Circuit Board,电路板,
,Microchip,Microchip,微芯片,
,Switcher,Switcher,切换器,
,Switcher1,Use to switch the open side at any time,可随时用来切换开启侧方向,
,Citrine Reverser,Citrine Reverser,黄水晶反转器,
,Amplifier,Amplifier,放大器,
,Booster,Booster,升压器,
,Ray Gun,Ray Gun,激光枪,
,Defensive Grid,Defensive Grid,防御电网,
,Cup of Oil,Cup of Oil,一杯机油,
,Grape Juice,Grape Juice,葡萄汁,
,Wooden Blade,Wooden Blade,木刀,
,Reactive Core,Reactive Core,反应核心,
,Defensive Core,Defensive Core,防御核心,
,Destructive Core,Destructive Core,毁灭核心,
,Charger,Charger,充电器,
,Charger1,Destroys charges. First charge is stored. Second charge releases twice the energy stored.,摧毁充能时将存储能量，摧毁第二发充能后将释放所储存的两发能量,
,Grinder,Grinder,研磨机,
,Heavy Grinder,Heavy Grinder,重型研磨机,
,Repeater,Repeater,重复器,
,Repeater1,Destroys charges. Creates a new 1 energy charge for each energy the charge held.,摧毁旧充能，再依照它拥有的能量，每点就生成一发 1 点能量的新充能,
,Reverser,reverser,反转器,
,Mana Reverser,Mana Reverser,魔力反转器,
,Toggle,Toggle,切换器,
,Toggle1,"Each time this is used, the direction is reversed",每次使用它时，方向都会反转,
,Rocket Silo,Rocket Silo,火箭筒仓,
,Bouncer,Bouncer,弹跳器,
,Piston,Piston,活塞,
,Vacuum,Vacuum,吸尘器,
,Masonry Tools,Masonry Tools,砖砌工具,
,Mechanical Gem,Mechanical Gem,机械宝石,
,Sapphire,Sapphire,蓝宝石,
,Cloud Sword,Cloud Sword,云朵之剑,
,Cloud Sword2,It floats and stabs!,它擅长漂浮和刺击！,
,Chipped Sword,Chipped Sword,残缺长剑,
,Crab Cactus,Crab Cactus,蟹爪兰,
,Vorpal Blade,Vorpal Blade,斩首魔剑,
,Vorpal Blade2,It goes snicker-snack!,杀敌如砍瓜切菜！,
,Bayou Club,Bayou Club,沉滞木棒,
,Book of Nightmares,Book of Nightmares,噩梦之书,
,Dew Drop Blade,Dew Drop Blade,露珠之剑,
,Green Candle,Green Candle,青烛雕饰,
,Jar Carving,Jar Carving,瓶罐雕饰,
,Mask of Secrets,Mask of Secrets,密教面具,
,Ring of Dreams,Ring of Dreams,美梦之戒,
,Spiky Carving,Spiky Carving,刺球雕饰,
,Spiral Lance,Spiral Lance,螺旋长枪,
,Thorn Shiv,Thorn Shiv,荆棘短刃,
,Tree Shield,Tree Shield,树木圆盾,
,Vine Wand,Vine Wand,藤蔓魔杖,
,Venom Sword,Venom Sword,毒液长剑,
,Venom Sword2,physician heal thyself,久毒成良医,
,Gem of Anna,Gem of Anna,安娜的宝石,
,Spare Glasses,Spare Glasses,备用眼镜,
,Spare Glasses2,I can't see without my glasses,少了眼镜我可看不见,
,Daisy Blade,Daisy Blade,雏菊短剑,
,Spoiled Milk,Spoiled Milk,,
,,,,
,BIG CURSE,BIG CURSE,大型诅咒,
,CURSE OF HONEY,CURSE OF HONEY,蜂蜜诅咒,
,CURSE OF POISON,CURSE OF POISON,剧毒诅咒,
,CURSE OF POISON WEAPONS,CURSE OF POISON WEAPONS,剧毒武器诅咒,
,CURSE OF SLIME,CURSE OF SLIME,软泥诅咒,
,CURSE OF SLOW,CURSE OF SLOW,缓速诅咒,
,CURSE OF SPIKES,CURSE OF SPIKES,尖刺诅咒,
,CURSE OF THORNS,CURSE OF THORNS,荆棘诅咒,
,CURSE OF WEAKNESS,CURSE OF WEAKNESS,虚弱诅咒,
,MEDIUM CURSE,MEDIUM CURSE,中型诅咒,
,SMALL CURSE,SMALL CURSE,小型诅咒,
,BELT OF KNIVES,BELT OF KNIVES,千刃腰带,
,BARBELL,BARBELL,杠铃,
,BOMBSTONE,BOMBSTONE,炸弹石,
,CLEANSING FLAME,CLEANSING FLAME,净化之焰,
,CONDUCTOR,CONDUCTOR,导体,
,CORAL,CORAL,珊瑚,
,FLUFFY COTTON,FLUFFY COTTON,蓬松棉花,
,GLASS BOTTLE,GLASS BOTTLE,玻璃瓶,
,HOURGLASS,HOURGLASS,沙漏,
,MOUSE WOOD,MOUSE WOOD,鼠木,
,ORE,ORE,矿石,
,SANDWICH,SANDWICH,三明治,
,SHIELD SPIRIT,SHIELD SPIRIT,盾之精灵,
,SPICE,SPICE,香料,
,SPICY GINGER,SPICY GINGER,辣姜,
,STOPWATCH,STOPWATCH,秒表,
,TUSK,TUSK,獠牙,
,WINDMILL,WINDMILL,风车,
,FROG TOTEM,FROG TOTEM,青蛙图腾,
,ETHEREAL BLADE,ETHEREAL BLADE,空灵之刃,
,ETHEREAL BLADE2,A sword that was too good for this world. We have to share it between dimensions,一柄此世间不该存在的剑，我们不得不和其它次元共用它,
,ETHEREAL ENERGY,ETHEREAL ENERGY,空灵之力,
,ETHEREAL SHIV,ETHEREAL SHIV,空灵匕首,
,FOX RAPIER,FOX RAPIER,狡狐刺剑,
,FOX RAPIER2,Foxes can't be trusted,狐狸太狡猾了，不能轻信,
,Alloy,Alloy,合金,
,,,,
,GOLD2,The root of all evil. But also very shiny,万恶之源。但又闪闪发光,
,Black Mana Stone,Black Mana Stone,黑色魔石,
,Black Mana Stone2,"Unsatisfied, a greedy frog poured his dark heart into this ancient stone",一只贪得无厌的青蛙将自己的黑心灌注于这颗古老的石头中,
,Black Mana Stone e1,Adjacent or diagonal Mana Stones are destroyed,摧毁与它相邻和对角的所有魔石,
,Black Mana Stone e2,Permanently add /x to max mana capacity,此物品永久增加 /x 点法力上限,
,,,,
,HUGE MANA STONE,HUGE MANA STONE,巨型魔石,
,LARGE MANA STONE,LARGE MANA STONE,大型魔石,
,MANA STONE,MANA STONE,魔石,
,ETHEREAL ARROW,ETHEREAL ARROW,空灵之箭,
,Sliding Rune,Sliding Rune,滑动符文,
,Sliding Rune2,Can slide left or right. Will push adjacent items. Can be rotated before it is placed. Can be used once per combat.,可以向左或向右滑动，将推动与它相邻的物品，可以在放置前旋转，每场战斗只能使用一次。,
,rt5d,Hard Mode 4,困难模式 4,
,Blue Slime,Blue Snail,蓝色蜗牛,
,Blue Slime1,Blueberry flavor! Mmm!,蓝莓口味！味道好极了！,
,Purple Slime,Purple Snail,紫色蜗牛,
,Purple Slime1,Grape flavor. Delicious!,葡萄口味！真美味！,
,Red Slime,Red Slime,红色史莱姆,
,Red Slime1,Red Snail,红色蜗牛,
,Slime,Green Snail,绿色蜗牛,
,Slime1,These goopy creatures make you feel sick!,这些黏糊糊的生物令人作呕！,
,ev8b1o1,"She takes your weapon, turns it a few times, and then presses it to her anvil. Her hammer sends sparks flying and you turn around to cover your eyes. When you turn back, your weapon glows with a new purpose.",她拿过你的武器打量一番，然后将它固定在铁砧上。她的锻锤飞舞，迸出火花，你只能转身掩住双眼。当你再次回身时，你的武器闪耀着光泽，似乎迎来了新的使命。,
,ev8b1o1t1,I help,我出力,
,ev8b2o1,"She takes your weapon, turns it a few times, and then presses it to her anvil. Her hammer sends sparks flying and you turn around to cover your eyes. When you turn back, your weapon glows with a new purpose.",她拿过你的武器打量一番，然后将它固定在铁砧上。她的锻锤飞舞，迸出火花，你只能转身掩住双眼。当你再次回身时，你的武器闪耀着光泽，似乎迎来了新的使命。,
,ev8b2o1t1,I help,我出力,
,ev8b3o1,"She takes your weapon, turns it a few times, and then presses it to her anvil. Her hammer sends sparks flying and you turn around to cover your eyes. When you turn back, your weapon glows with a new purpose.",她拿过你的武器打量一番，然后将它固定在铁砧上。她的锻锤飞舞，迸出火花，你只能转身掩住双眼。当你再次回身时，你的武器闪耀着光泽，似乎迎来了新的使命。,
,ev8b3o1t1,I help,我出力,
,ev8b4o1,She nods and carries on her work.,她点了点头，然后继续埋头做手上的事。,
,ev8b4o1t1,Work to do.,有活要做。,
,ev8b4o1t2,No want?,不想要？,
,ev8b4o1t3,Still here...,还在这里……,
,DUCT TAPE2,All effects applied to this are passed to adjacent items,附加在此物品上的效果都将传递至与它相邻的物品上,
,LUCKY DAGGER,LUCKY DAGGER,幸运匕首,
,Trebuchet,Trebuchet,投石机,
,ev8b15o1,She nods and carries on her work.,她点了点头，然后继续埋头做手上的事。,
