Category,Key,English,Japanese,Notes
,m134b,The adjacent item [to the right] is destroyed,[右側]アイテムが破壊,
,m135b,The adjacent item [below] is destroyed,[下]アイテムが破壊,
,m136,"For each space the destroyed item occupied, this gets /x damage",破壊されたアイテムが占めていたマスごとに/xダメージ追加,
,m137,Decreases the cost of all adjacent weapons to 0 energy,隣り合う全ての武器の消費エネルギーを0に削減,
,m138,This item is refreshed and can be used again this turn,このアイテムは更新されターン中もう一度使用できる,
,m139,Adjacent weapons get /x to their energy cost this combat (minimum of 1),このバトル中隣り合う武器の消費エネルギーを/x追加（最小1）,
,m140,Adjacent weapons get /x burn,隣り合う武器に燃焼効果/x, WARNING: ENGLISH TEXT CHANGED #####################################################
,m141,Weapons along a diagonal line get /x damage,対角線上にある武器に/xダメージ,
,m142,Adjacent weapons get /x weak this combat,このバトル中隣り合う武器に弱体化効果/x,
,m143,This item gets /x% bonus damage this turn,ターン中このアイテムに/x%のボーナスダメージ,
,m144,Redirects charge,充電の出力先変更,
,m145,Reorganize your backpack in combat,バトル中にバックパックを再整理,
,m146,A new charge is created with 2 energy,新しい充電を2エネルギーで生成,
,m147,Each charge can only use this component /x times,1充電につきこの部品を使用できるのは/x回まで,
,m148,Charges must have traveled at least /x spaces,電荷は最低/xマス通さなければならない,
,m149,Creates a charge with /x energy,/xエネルギーで充電を生成,
,m150,Creates two charges with /x energy,/xエネルギーで充電を2生成,
,m151,"For each space the destroyed item occupied, this gets /x energy",破壊されたアイテムが占めていたマスごとに/xエネルギー追加,
,m152a,The closest item [below] is pulled [up],一番近く[下]のアイテムが移動[上方向],
,m152b,The closest item [to the right] is pulled [left],一番近く[右]のアイテムが移動[左方向],
,m152c,The closest item [to the left] is pulled [right],一番近く[左]のアイテムが移動[右方向],
,m152d,The closest item [above] is pulled [down],一番近く[上]のアイテムが移動[下方向],
,m153,The adjacent item [above] is pushed [up],隣り合うアイテム[上]が押し出される[上方向],
,m154,The adjacent item [to the left] is pushed [left],隣り合うアイテム[左]が押し出される[左方向],
,m155,The adjacent item [below] is pushed [down],隣り合うアイテム[下]が押し出される[下方向],
,m156,The adjacent item [to the right] is pushed [right],隣り合うアイテム[右]が押し出される[右方向],
,m157,Adjacent items are pushed away,隣り合うアイテムが押し出される,
,m158,This carving is discarded,この彫刻は破棄された, WARNING: AUTO-TRANSLATION #####################################################
,m159,/x to the energy cost for this turn,このターン中エネルギーコストが/x増加, WARNING: AUTO-TRANSLATION #####################################################
,m160,Does damage equal to /x% of your current poison,現在の毒効果の/x%にあたるダメージを付与, WARNING: AUTO-TRANSLATION #####################################################
,m161,Adjacent carvings are discarded,隣り合う彫刻は破棄された, WARNING: AUTO-TRANSLATION #####################################################
,m162,Carvings behind are discarded,後ろにある彫刻は破棄された, WARNING: AUTO-TRANSLATION #####################################################
,m163,All weapons become heavy,全ての武器が重量型になった, WARNING: AUTO-TRANSLATION #####################################################
,m164,all wands get /x to mana cost,全ての杖に/xのマナコスト, WARNING: AUTO-TRANSLATION #####################################################
,m167,Adjacent wands get /x damage,隣り合う杖に/xダメージ, WARNING: AUTO-TRANSLATION #####################################################
,m168,/y to mana cost of adjacent and diagonal wands,隣か斜めにある杖のコストが/xマナ増加, WARNING: AUTO-TRANSLATION #####################################################
,m169,/x to mana cost this turn,このターン中マナコストが/x増加, WARNING: AUTO-TRANSLATION #####################################################
,m170,/x to the energy cost of all weapons and bows,全ての武器のエネルギーコストが/x増加, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
directional,below,below,下,
,above,above,上,
,left,left,左,
,right,right,右,
modifier names,kill,kill,キル,
,Near Consumable,Near Consumable,近くの消耗品,
,nearby accessory,nearby accessory,近くのアクセサリー,
,open space,open space,空スペース,
,empty space,empty space,空スペース,
,space above,space above,上のマス,
,other helmet,other helmet,他のかぶと,
,connected manastone,connected manastone,接続されたマナストーン,
,other shoes,other shoes,他の靴,
,position,position,位置,
,nearby structure,nearby structure,近くの建材,
,bronze plate,bronze plate,青銅の胸当て,
,nearby weapon,nearby weapon,近くの武器,
,forge,forge,鍛冶,
,nearby fish,nearby fish,近くの魚,
,Use,Use,使用,
,combats,combats,バトル,
,turns,turns,ターン,
,nearby,nearby,近く, WARNING: AUTO-TRANSLATION #####################################################
items,ACIDIC POTION,ACIDIC POTION,酸性のポーション,
,AMETHYST,AMETHYST,アメジスト,
,ANCIENT TOME,ANCIENT TOME,古書,
,ANCIENT TOME2,Ancient spells are written in the margins of this recipe book,レシピ本の余白に古代の呪文が書き留められている,
,ANGLER FISH,ANGLER FISH,チョウチンアンコウ,
,ARCHANGEL ARMOR,ARCHANGEL ARMOR,大天使の鎧,
,ARCHANGEL Wings,ARCHANGEL Wings,大天使の羽,
,ARCHANGEL Wings e1,The item between the wings is used,羽の間にあるアイテムが使える,
,ARCHANGEL Wings e2,The item between the wings is disabled for 1 turn,羽の間にあるアイテムは1ターン無効になる,
,ARCHANGEL Wings2,They have a mind of their own!,意思を持っているようだ！,
,ARCHER'S WAND,ARCHER'S WAND,弓使いの杖,
,ARCHER'S WAND2,Frog wizards created this item,カエルの魔法使いが作ったアイテムのようだ,
,ASSASSIN'S DAGGER,ASSASSIN'S DAGGER,暗殺者の短剣,
,BALLOON,BALLOON,風船,
,BANDAGES,BANDAGES,包帯,
,Bashing Shield,Bashing Shield,対強打シールド,
,Bashing Shield e1,Does damage equal to your current block,現在の防御とダメージを同等にする,
,BERSERKER'S CLUB,BERSERKER'S CLUB,狂戦士のこん棒,
,BESERKER'S RING,BERSERKER'S RING,狂戦士のリング, WARNING: ENGLISH TEXT CHANGED #####################################################
,BIG FIN,BIG FIN,大きなフィン,
,BLADE SUMMONER,BLADE SUMMONER,剣士の召喚,
,BLUEFIN,BLUEFIN,青のフィン,
,BRAMBLE,BRAMBLE,イバラの茂み,
,BRAMBLE2,Poison oozes from these thick brambles,毒がにじみ出るように生い茂るイバラ,
,Brass Knuckles,Brass Knuckles,ナックルダスター,
,BRICK,BRICK,レンガ,
,BRICKWALL,BRICKWALL,レンガの壁,
,BROKEN RING,BROKEN RING,壊れたリング,
,BROKEN RING2,Ancient magicians found protection with this ring on hand,古代の魔術師はこのリングを身に付けることで自らの身を守っていたという。,
,BRONZE BREASTPLATE,BRONZE BREASTPLATE,青銅の胸当て,
,BRUTAL SPEAR,BRUTAL SPEAR,野蛮な槍,
,BUBBLE,BUBBLE,泡,
,CACTUS,CACTUS,サボテン,
,CAP,CAP,帽子,
,CAULDRON,CAULDRON,大釜,
,CAVE FISH,CAVE FISH,洞窟魚,
,CAVE SHARK,CAVE SHARK,洞窟の鮫,
,CHAINMAIL,CHAINMAIL,鎖かたびら,
,CHARMED BRACELET,CHARMED BRACELET,幸運のブレスレット,
,CHARMED BRACELET2,Exchange your lifeforce to remove a curse,自分の生命力と引替えに呪文を解く,
,CHEF'S HAT,CHEF'S HAT,コック帽,
,CITRINE,CITRINE,黄水晶,
,CLEANSING BOMB,CLEANSING BOMB,浄化の爆弾,
,CLEANSING POTION,CLEANSING POTION,浄化のポーション,
,CLEANSING RAG,CLEANSING RAG,浄化の布切れ,
,CLEANSING WAND,CLEANSING WAND,浄化の杖,
,CLEANSING WAND2,I think this wand used to be a broom!,かつてこの杖はほうきだったのかもしれない！,
,CLUB,CLUB,こん棒,
,COAL,COAL,石炭,
,COMPOSITE BOW,COMPOSITE BOW,合成弓,
,COMPOSITE BOW2,For the smallest of rodents,とても小さなげっ歯類向け,
,CONDUIT,CONDUIT,導管,
,COOL DRINK,COOL DRINK,冷たい飲み物,
,CRIMSON ENERGY,CRIMSON ENERGY,深紅のエネルギー,
,CROOKED ARROW,CROOKED ARROW,歪んだ矢,
,CROSSBOW,CROSSBOW,石弓,
,CROSSBOW2,squirrels prefer the light weight of crossbows,リスは軽い石弓を好む,
,CURSED BLADE,CURSED BLADE,呪われた刃,
,CURSED BLADE2,Many have tried to wield this sword - none have succeeded,多くの者がこの剣を振ろうとした - 成功した者はいない,
,CURSED SHIV,CURSED SHIV,呪われたナイフ,
,CURSED SHIV2,Unspeakably cursed,言いようのない呪縛,
,CURSED WHETSTONE,CURSED WHETSTONE,呪われた砥石,
,DAGGER,DAGGER,短剣,
,DAMAGED KNIFE,DAMAGED KNIFE,破損したナイフ,
,DARK HEADBAND,DARK HEADBAND,闇のヘッドバンド,
,DARK WHETSTONE,DARK WHETSTONE,闇の砥石,
,DART,DART,ダーツ,
,DEBUFF POTION,DEBUFF POTION,弱体化のポーション,
,DIAMOND,DIAMOND,ダイヤモンド,
,DISGUSTING FOOD,DISGUSTING FOOD,気色悪い食べ物,
,DODGE POTION,DODGE POTION,回避のポーション,
,DORU,DORU,槍,
,DORU2,Wait until the time is right,しかるべき時まで待とう,
,DOUBLE HALBERD,DOUBLE HALBERD,双矛,
,DOUBLE POISON POTION,DOUBLE POISON POTION,毒のポーション（二倍濃縮）,
,DRAGONFLY,DRAGONFLY,トンボ,
,DUCT TAPE,DUCT TAPE,ダクトテープ,
,DUELING SWORD,DUELING SWORD,デュエルソード,
,EARTHSTONE BLADE,EARTHSTONE BLADE,石の刃,
,ELECTRIC ARROW,ELECTRIC ARROW,電気の矢,
,ELECTRIC STONE,ELECTRIC STONE,電気の石,
,ELECTRIC WAND,ELECTRIC WAND,電気の杖,
,EMERALD,EMERALD,エメラルド,
,EMERALD BRACELET,EMERALD BRACELET,エメラルドブレスレット,
,EMPTY CUP,EMPTY CUP,空のコップ,
,ETHEREAL STAFF,ETHEREAL STAFF,エーテルのステッキ,
,ETHEREAL WAND,ETHEREAL WAND,エーテルの杖,
,ETHEREAL WAND2,A wand capable of summoning energy from beyond our realm,我々の領域を超えてエネルギーを召喚することができる杖。,
,ETHEREAL WHETSTONE,ETHEREAL WHETSTONE,エーテルの砥石,
,EXPERT BOW,EXPERT BOW,洗練された弓,
,EXPLOSIVE ARROW,EXPLOSIVE ARROW,爆発する矢,
,FEATHER CAP,FEATHER CAP,羽毛の帽子,
,FISH SWORD,FISH SWORD,フィッシュソード,
,FISH SWORD2,"This thing does not smell good. Seriously, wow.",あんまりいい匂いはしない。ほんとに、うげ。,
,FISHING HOOK,FISHING HOOK,釣り針,
,FISHING HOOK2,Fishing while you work!,仕事をしつつ釣ろう！,
,FLOWER,FLOWER,花,
,FROTHY DRINK,FROTHY DRINK,あわあわの飲み物,
,GEMSTONE HEART,GEMSTONE HEART,ジェムストーンハート,
,GLITCHED POTION,GLITCHED POTION,不思議なポーション,
,GLOVE OF KNIVES,GLOVE OF KNIVES,ナイフグローブ,
,GLOVE OF KNIVES2,Try it on for size,試着してみよう,
,GOLD CLEAVER,GOLD CLEAVER,金の肉切り包丁,
,GOLDEN BOW,GOLDEN BOW,金の弓,
,GOLDEN BOW2,Due to their small sizes squirrels and mice often opt for archery rather than brute strength,リスやネズミは体が小さいので、力ずくで戦うよりも弓矢の腕を磨くことが多い,
,GOLDEN SHIV,GOLDEN SHIV,金のナイフ,
,GOLDEN SHIV2,We've been turning blood to gold for centuries!,我々は何世紀にもわたって血を金に変えてきたんだ！,
,GOLDEN WHETSTONE,GOLDEN WHETSTONE,金の砥石,
,GUARDIAN RING,GUARDIAN RING,守護のリング,
,GUARDING BAND,GUARDING BAND,守護のバンド,
,GUPPY,GUPPY,グッピー,
,HATCHET,HATCHET,手斧,
,HAWKEYE'S BOW,HAWKEYE'S BOW,ホークアイの弓,
,HAWKEYE'S BOW2,One of the greatest archers in the ranks of the patrol was Hawkeye Mirabelle. She once shot down two hawks while hanging upside down from a tree,パトロール隊の中でも最も優れた射手にホークアイ・ミラベルがいた。彼女は木にぶら下がり、逆さになった状態で鷹を2羽射落としたことがある。,
,HEART RING,HEART RING,ハートのリング,
,HEAVY BLADE,HEAVY BLADE,重い刃,
,HERB,HERB,薬草,
,HERCULE PAVISE,HERCULE PAVISE,ヘラクレスの盾,
,HERCULE PAVISE2,The Buckler did it!,丸盾が大健闘！,
,HONEYSUCKLE,HONEYSUCKLE,ハニーサックル,
,IRON HELMET,IRON HELMET,鉄のかぶと,
,JACK CLEAVER,JACK CLEAVER,ジャックの肉切り包丁,
,JADE AXE,JADE AXE,ヒスイの斧,
,JAGGED BLADE,JAGGED BLADE,ギザギザの刃,
,KEG,KEG,樽,
,KEY SWORD,KEY SWORD,キーソード,
,KEY SWORD2,Unlocks your potential as a warrior!,戦士としての能力が開花する！,
,KING CLEAVER,KING CLEAVER,王の肉切り包丁,
,KNIGHT'S ARMOR,KNIGHT'S ARMOR,騎士の鎧,
,KNIGHT'S SHIELD,KNIGHT'S SHIELD,騎士の盾,
,LARGE HEART RING,LARGE HEART RING,大きなハートのリング,
,LEATHER BOOTS,LEATHER BOOTS,革のブーツ,
,LEATHER CAP,LEATHER CAP,革の帽子,
,LEFT GAUNTLET,LEFT GAUNTLET,左手の長手袋,
,LEFT GLOVE,LEFT GLOVE,左手のグローブ,
,LETTER,LETTER,手紙,
,LIGHTNING,LIGHTNING,稲妻,
,LI'L BUCKLER,LI'L BUCKLER,小さな丸盾,
,LI'L BUCKLER2,A little shield with sass and pep!,小回りのきく小さな丸盾！,
,LIQUID ARMOR,LIQUID ARMOR,液体の鎧,
,LIQUID LUCK,LIQUID LUCK,液体の幸運,
,LIZARD KING SWORD,LIZARD KING SWORD,リザード・キングの剣,
,LONGBOW,LONGBOW,長弓,
,LUCKY Shiv,LUCKY Shiv,幸運のナイフ, WARNING: AUTO-TRANSLATION #####################################################
,LUCKY DAGGER2,Lucky for you - not for them,他の誰でもないあなたに運が向いている,
,LUCKY RING,LUCKY RING,幸運のリング,
,MACE,MACE,メイス,
,MACHETE,MACHETE,マチェーテ,
,MAGICAL HERB,MAGICAL HERB,魔法の薬草,
,MANASTONE BOW,MANASTONE BOW,マナストーンの弓,
,MEAL,MEAL,食事,
,METALLIC WAND,METALLIC WAND,金属製の杖,
,METALLIC WAND2,A static feeling runs through the pads of your paw,肉球で静電気を感じる,
,MIRROR SHIELD,MIRROR SHIELD,ミラーシールド,
,MOUSE BOW,MOUSE BOW,ネズミの弓,
,Mug of Grape Juice,Mug of Grape Juice,ぶどうジュースが入ったカップ,
,MY FIRST WAND,MY FIRST WAND,初めての杖,
,MY FIRST WAND2,Teaches kids the basics of magic!,子どもが魔法の基本を学べる！,
,NECRONOMICON,NECRONOMICON,ネクロノミコン,
,NECRONOMICON2,The book is bound in fur!,毛皮で装丁された本！,
,NEEDLER,NEEDLER,ニードラー,
,NINJA COSTUME,NINJA COSTUME,忍者の服,
,NUNCHUCKS,NUNCHUCKS,ヌンチャク,
,NUNCHUCKS2,Make sure you have space to use them!,振り回せるスペースがあることを先に確認しておこう！,
,OLD LOG,OLD LOG,古い丸太,
,ORKSORK AX,ORKSORK AX,オークソークの斧,
,ORKSORK AX2,The axe of an elder-god,旧神の斧,
,PACIFIST'S RING,PACIFIST'S RING,平和主義者のリング,
,PALADIN'S SWORD,PALADIN'S SWORD,英雄の剣,
,PEARL,PEARL,真珠,
,PERIDOT,PERIDOT,ペリドット,
,PHILOSOPHER'S STONE,PHILOSOPHER'S STONE,賢者の石,
,PICK AXE,PICK AXE,ツルハシ,
,PIGGYBANK,PIGGYBANK,ブタの貯金箱,
,PIGGYBANK2,Free money! And it smells like bacon!,お金がもらえる？！ベーコンみたいな匂いがする！,
,PLATE ARMOR,PLATE ARMOR,胸当て,
,POISON ARROW,POISON ARROW,毒矢,
,POISON IVY,POISON IVY,毒のツタ,
,POISON POTION,POISON POTION,毒のポーション,
,POISON WHETSTONE,POISON WHETSTONE,毒の砥石,
,Pot of Plenty,Pot of Plenty,いっぱいの鍋,
,POTTED ALOE,POTTED ALOE,アロエの鉢植え,
,PRETTY ANKLET,PRETTY ANKLET,おしゃれなアンクレット,
,QUEEN CLEAVER,QUEEN CLEAVER,女王の肉切り包丁,
,RAPIER,RAPIER,レイピア,
,RAPIER2,Live life on the edge ,ギリギリを生きていたい, WARNING: ENGLISH TEXT CHANGED #####################################################
,RARE HERB,RARE HERB,レアな薬草,
,RED HOODIE,RED HOODIE,赤色のパーカー,
,RED HOODIE2,A leftover from before Orderia?  The spiders that spun this thread must have been strange indeed!,オーデリア以前の遺物？この糸を紡いだクモもさぞ不思議だっただろう！,
,REGEN POTION,REGEN POTION,回復のポーション,
,REGENERATIVE WHETSTONE,REGENERATIVE WHETSTONE,再生の砥石,
,RIGHT GAUNTLET,RIGHT GAUNTLET,右手の長手袋,
,RIGHT GLOVE,RIGHT GLOVE,右手のグローブ,
,RING OF DOOM,RING OF DOOM,破滅のリング,
,RING OF RAGE,RING OF RAGE,凶暴のリング,
,ROBOT TOY,ROBOT TOY,ロボットのおもちゃ,
,ROBOT TOY2,I think it's broken!,壊れているかも！,
,ROCKET,ROCKET,ロケット,
,ROGUE'S MASK,ROGUE'S MASK,悪党の覆面,
,ROOF,ROOF,屋上,
,ROSE OF THORNS,ROSE OF THORNS,トゲのある薔薇,
,Rose of Thorns e1,Adds an additional spike for each Rose of Thorns in this row or column,この縦列または横列にあるトゲ薔薇に1つにつきトゲ効果が追加される。,
,ROSE OF THORNS2,"Every rose has its thorns, especially this one",薔薇にはトゲがあるが、これは特にすごい。,
,ROUGH BUCKLER,ROUGH BUCKLER,粗い丸盾,
,RUBY,RUBY,ルビー,
,SCIMITAR,SCIMITAR,三日月刀,
,SEASONING,SEASONING,調味料,
,SHIV,SHIV,ナイフ,
,SHORT ARROW,SHORT ARROW,短い矢,
,SKULL WAND,SKULL WAND,頭がい骨の杖,
,SLATS SHIELD,SLATS SHIELD,薄い盾,
,SLIME SWORD,SLIME SWORD,スライムの剣,
,SMALL KEY,SMALL KEY,小さな鍵,
,SMELT,SMELT,スメルト,
,SOLDIER'S BUCKLER,SOLDIER'S BUCKLER,剣士の丸盾,
,SPAGHETTI,SPAGHETTI,スパゲティ,
,SPAGHETTI2,"spaghetti, spaghetti, my backpack is ready",スパゲティ、スパゲティ、バックパックはレディ,
,SPEEDY LEAF,SPEEDY LEAF,スピーディ・リーフ,
,SPIKED HELMET,SPIKED HELMET,トゲのかぶと,
,SPIKED SCALE,SPIKED SCALE,トゲの鱗,
,SPIKY CLUB,SPIKY CLUB,トゲのこん棒,
,SPLINT,SPLINT,木板,
,STAR POTION,STAR POTION,星のポーション,
,STEAK,STEAK,ステーキ,
,STEAK2,This steak is so rich. You can only eat half at a time,とっても肉厚なステーキ。一度に半分しか食べられない。,
,STEEL BOOTS,STEEL BOOTS,鋼鉄のブーツ,
,TASTY FLY,TASTY FLY,美味しいハエ,
,TASTY FLY2,Rats don't eat flies,ネズミはハエを食べない,
,TEA,TEA,紅茶,
,TEA2,Proper. Dignified. Perfectly balanced,本物。見事。バランスが完璧,
,TEDDY BEAR SWORD,TEDDY BEAR SWORD,テディペアの剣,
,TEDDY BEAR SWORD2,It's not a weapon. But there is a brick in the stuffing,武器ではない。でも中にレンガが詰まっている。,
,THREAD,THREAD,糸,
,TILTED SWORD,TILTED SWORD,傾いた剣,
,TOKEN OF ENERGY,TOKEN OF ENERGY,エネルギーの源,
,TOOTH NECKLACE,TOOTH NECKLACE,歯のネックレス,
,TOWER SHIELD,TOWER SHIELD,タワーシールド,
,TUNIC,TUNIC,洋服,
,VAMPIRE BLADE,VAMPIRE BLADE,吸血鬼の刃,
,VAMPIRIC AXE,VAMPIRIC AXE,吸血鬼の斧,
,VAMPIRIC CRYSTAL,VAMPIRIC CRYSTAL,吸血鬼の水晶,
,VOLATILE POTION,VOLATILE POTION,危険なポーション,
,WARM DRINK,WARM DRINK,温かい飲み物,
,WARRIOR'S SPELLBOOK,WARRIOR'S SPELLBOOK,戦士の呪文書,
,WARRIOR'S SPELLBOOK2,For the warrior on the go!,戦いに挑む戦士に！,
,WATER FLASK,WATER FLASK,水筒,
,WHEEL,WHEEL,車輪,
,WHETSTONE,WHETSTONE,砥石,
,WIZARD CAP,WIZARD CAP,魔法使いの帽子,
,WIZARD STAFF,WIZARD STAFF,魔法使いのステッキ,
,WIZARD'S ROBE,WIZARD'S ROBE,魔法使いのローブ,
,WOODEN SWORD,WOODEN SWORD,木製の剣,
,Yellow Rose,Yellow Rose,黄色い薔薇,
,Yellow Rose2,Symbolizes friendship. It's still thorny though.,友情の証。トゲトゲしいけど。,
,Whittling Knife,Whittling Knife,彫刻刀,
,Dreaming Sap,Dreaming Sap,夢の樹液,
,Flower Pot,Flower Pot,花の鉢植え,
,Carving's Edge,Carving's Edge,彫刻の刃,
,Pot Carving,Pot Carving,つぼの彫刻,
,Cherry Bomb,Cherry Bomb,チェリーボム,
,Energy Carving,Energy Carving,エネルギーの彫刻,
,Mana Sap,Mana Sap,マナの樹液,
,Mossy Carving,Mossy Carving,コケの生えた彫刻,
,Dreaming Buckler,Dreaming Buckler,夢の丸盾,
,Dreaming Buckler2,"""Far out!""",「離れて！」, WARNING: ENGLISH TEXT CHANGED #####################################################
,Brothers Bow,Brothers Bow,兄弟の弓,
,Crown of Roots,Crown of Roots,冠根,
,Hero Carving,Hero Carving,英雄の彫刻,
,Survival Guide,Survival Guide,サバイバルガイド,
,Sharp Branch,Sharp Branch,鋭い枝,
,Carved Blade,Carved Blade,彫刻された刃,
,Dreaming Sword,Dreaming Sword,夢の剣,
,Illusory Blade,Illusory Blade,幻の刃,
,Illusory Duct Tape,Illusory Duct Tape,幻のダクトテープ,
,Dreaming Ring,Dreaming Ring,夢のリング,
,Overgrown Arrow,Overgrown Arrow,つるが巻いた矢,
,Wooden Shiv,Wooden Shiv,木製のナイフ,
,Wooden Buckler,Wooden Buckler,木製の丸盾,
,Belt of Dreams,Belt of Dreams,夢のベルト,
,Fuel Pellet,Fuel Pellet,燃料ペレット,
,Tree Sword,Tree Sword,木の剣,
,Poison Carving,Poison Carving,毒の彫刻,
,Energy Fish,Energy Fish,エネルギーフィッシュ,
,Flowering Cleaver,Flowering Cleaver,花咲く肉切り包丁,
,Frog Magician Boots,Frog Magician Boots,カエルの魔法使いのブーツ,
,Saw Mill,Saw Mill,製材機械,
,Acorn Cap,Acorn Cap,どんぐりの帽子,
,Tape Carving,Tape Carving,テープの彫刻,
,Piggy Bang,Piggy Bang,豚の爆弾,
,Gardener's Helmet,Gardener's Helmet,庭師のかぶと,
,Bolt Carving,Bolt Carving,ボルトの彫刻,
,Mossy Mace,Mossy Mace,コケの生えたメイス,
,Lucky Carving,Lucky Carving,幸運の彫刻,
,Shiny Carving,Shiny Carving,輝く彫刻,
,Carving cyler,Carving cyler,彫刻リサイクル, WARNING: AUTO-TRANSLATION #####################################################
,Die,Dice,サイコロ,
,Die1,Use to reroll your combat rewards,バトルの報酬をリセットする,
,mortar,mortar,モーター,
,Mortar1,Use to combine together potions to the left and right,左右方向にポーションを混合するのに使う,
,Rusty Sword,Rusty Sword,さびた剣,
,Ballista,Ballista,バリスタ,
,Boo-hoo Buckler,Boo-hoo Buckler,わめく丸盾,
,Dark Potion,Dark Potion,ダークポーション,
,Dark Potion1,Use to create a battle,バトルを生成するのに使う,
,Spare Die,Spare Dice,二倍サイコロ,
,Spare Die1,Use to add to your combat rewards,バトルの報酬を増やすのに使う,
,Spring Gem,Spring Gem,スプリングジェム,
,Shortcut Map,Shortcut Map,近道の地図,
,Shortcut Map1,Use to discover a secret passage!,隠された道を発掘しよう！,
,Alembic,Alembic,蒸留器,
,Alembic1,Use to duplicate the potion in the space above - for a price,上のマスにポーションを複製する - お金がかかる,
,Lizard Blade,Lizard Blade,トカゲの刃,
,Lance,Lance,槍,
,Flame Gem,Flame Gem,炎のジェム,
,Flame Axe,Flame Axe,炎の斧,
,Fire Staff,Fire Staff,炎のステッキ,
,Lily Pad,Lily Pad,スイレンの葉,
,Warhorn,Warhorn,ほら貝,
,Warnhorn1,Use to create a battle,バトルを始めるのに使う,
,Red Pearl,Red Pearl,赤い真珠,
,Violet Energy,Violet Energy,バイオレットエネルギー,
,Overgrown Axe,Overgrown Axe ,つるが巻いた斧, WARNING: ENGLISH TEXT CHANGED #####################################################
,Mixed Potion,Mixed Potion,混合ポーション,
,Splitter,Splitter,スプリッター,
,Splitter1,Destroys charge. Creates two charges going to the side. Each charge has half the value of the destroyed charge,電荷を破壊し、横向きに流れる電荷を2つ作成する。作成した電荷はそれぞれ元の電荷の半分の値になる。,
,Core,Core,コア,
,Battery,Battery,バッテリー,
,Rotator,Rotator,ローテーター,
,Ruby Rotator,Ruby Rotator,ルビーローテーター,
,Sharp Rotator,Sharp Rotator,シャープローテーター,
,Disposable Battery,Disposable Battery,使い捨てバッテリー,
,Double Battery,Double Battery,ダブルバッテリー,
,Circuit Board,Circuit Board,サーキットボード,
,Microchip,Microchip,マイクロチップ,
,Switcher,Switcher,切り替え装置,
,Switcher1,Use to switch the open side at any time,開口部をいつでも切り替えられる,
,Citrine Reverser,Citrine Reverser,黄水晶変流器,
,Amplifier,Amplifier,増幅器,
,Booster,Booster,ブースター,
,Ray Gun,Ray Gun,光線銃,
,Defensive Grid,Defensive Grid,防御グリッド,
,Cup of Oil,Cup of Oil,一杯のオイル,
,Grape Juice,Grape Juice,グレープジュース,
,Wooden Blade,Wooden Blade,木製の刃,
,Reactive Core,Reactive Core,反応コア,
,Defensive Core,Defensive Core,防御コア,
,Destructive Core,Destructive Core,破壊コア,
,Charger,Charger,充電器,
,Charger1,Destroys charges. First charge is stored. Second charge releases twice the energy stored.,電荷を破壊する。一度目の充電は蓄積され、二度目の充電で蓄積された二倍の充電を放出する。,
,Grinder,Grinder,グラインダー,
,Heavy Grinder,Heavy Grinder,重いグラインダー,
,Repeater,Repeater,リピーター,
,Repeater1,Destroys charges. Creates a new 1 energy charge for each energy the charge held.,電荷を破壊する。電荷が保持していたエネルギー1につき、新たに1エネルギー作成する。,
,Reverser,reverser,リバーサー,
,Mana Reverser,Mana Reverser,マナリバーサー,
,Toggle,Toggle,トグルスイッチ,
,Toggle1,"Each time this is used, the direction is reversed",これを使うたびに方向が逆に変わる,
,Rocket Silo,Rocket Silo,ロケットサイロ,
,Bouncer,Bouncer,バウンサー,
,Piston,Piston,ピストン,
,Vacuum,Vacuum,バキューム,
,Masonry Tools,Masonry Tools,石工道具,
,Mechanical Gem,Mechanical Gem,メカニカルジェム,
,Sapphire,Sapphire,サファイア, WARNING: AUTO-TRANSLATION #####################################################
,Cloud Sword,Cloud Sword,雲の剣, WARNING: AUTO-TRANSLATION #####################################################
,Cloud Sword2,It floats and stabs!,ふわふわと浮いて突き刺す！, WARNING: AUTO-TRANSLATION #####################################################
,Chipped Sword,Chipped Sword,欠けた剣, WARNING: AUTO-TRANSLATION #####################################################
,Crab Cactus,Crab Cactus,シャコバサボテン, WARNING: AUTO-TRANSLATION #####################################################
,Vorpal Blade,Vorpal Blade,ヴォーパルソード, WARNING: AUTO-TRANSLATION #####################################################
,Vorpal Blade2,It goes snicker-snack!,粉々に切り刻んでしまう！, WARNING: AUTO-TRANSLATION #####################################################
,Bayou Club,Bayou Club,ふやけた薪, WARNING: AUTO-TRANSLATION #####################################################
,Book of Nightmares,Book of Nightmares,悪夢の書物, WARNING: AUTO-TRANSLATION #####################################################
,Dew Drop Blade,Dew Drop Blade,水の滴る刃, WARNING: AUTO-TRANSLATION #####################################################
,Green Candle,Green Candle,緑のキャンドル, WARNING: AUTO-TRANSLATION #####################################################
,Jar Carving,Jar Carving,瓶の彫刻, WARNING: AUTO-TRANSLATION #####################################################
,Mask of Secrets,Mask of Secrets,シークレットマスク, WARNING: AUTO-TRANSLATION #####################################################
,Ring of Dreams,Ring of Dreams,ドリームリング, WARNING: AUTO-TRANSLATION #####################################################
,Spiky Carving,Spiky Carving,トゲの彫刻, WARNING: AUTO-TRANSLATION #####################################################
,Spiral Lance,Spiral Lance,螺旋の槍, WARNING: AUTO-TRANSLATION #####################################################
